,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.9826055987140836,0.18785532716035738,0.18785552221675964,1.2131720936956414e-150,Informative,InfoT2T,p1,0.0011739962922300002
1,"(t000001, Node1*)",2.989547317107238,0.1875936861276508,0.18785552221675964,9.479963483481145e-152,Informative,InfoT2T,p1,0.00132179234778
2,"(Node2*, Node1*)",2.9907826817222265,0.1875836711611851,0.18785552221675964,6.8757856607607364e-152,Informative,InfoT2T,p1,0.0017654025532500002
3,"(Node3*, Node2*)",2.9999905635607598,0.18785513174440865,0.18785552221675964,2.2365689408937707e-152,Informative,InfoT2T,p1,0.0011332764441000002
4,"(Node4*, Node2*)",2.9999806138161884,0.18785489094173868,0.18785552221675964,2.2397157598405053e-152,Informative,InfoT2T,p1,0.0007000848245700001
5,"(t000010, Node3*)",2.999997560943011,0.18785536948665152,0.18785552221675964,2.2349206890915593e-152,Informative,InfoT2T,p1,0.0014884822197900002
6,"(t000011, Node3*)",2.9999977457874523,0.1878553810613345,0.18785552221675964,2.2349206890913045e-152,Informative,InfoT2T,p1,0.0016104717520200001
7,"(Node5*, Node4*)",2.9999802440192993,0.18785522800590404,0.18785552221675964,2.2426853654182627e-152,Informative,InfoT2T,p1,0.0013862300791500002
8,"(Node8*, Node4*)",2.99298907629749,0.18785544062094992,0.18785552221675964,1.1210694795848647e-151,Informative,InfoT2T,p1,0.0020853637427700003
9,"(Node6*, Node5*)",2.9930760568459043,0.1878552167974824,0.18785552221675964,1.0979837600153949e-151,Informative,InfoT2T,p1,0.0014122408233600001
10,"(Node7*, Node5*)",2.999989979086722,0.18785502580257138,0.18785552221675964,2.2359985382644044e-152,Informative,InfoT2T,p1,0.00263259691083
11,"(Node9*, Node8*)",2.9908849930529535,0.1875827865317777,0.18785552221675964,6.693893576383117e-152,Informative,InfoT2T,p1,0.00127999707948
12,"(Node12*, Node8*)",2.9793238297129987,0.18785529894762437,0.18785552221675964,2.5708920701229125e-150,Informative,InfoT2T,p1,0.0019009515867300002
13,"(t000100, Node6*)",2.9826070553087636,0.1878554189019776,0.18785552221675964,1.213172093695503e-150,Informative,InfoT2T,p1,0.00132549018291
14,"(t000101, Node6*)",2.991018606774405,0.18758294685307056,0.18785552221675964,6.4948677439253255e-152,Informative,InfoT2T,p1,0.0008747953508700001
15,"(t000110, Node7*)",2.9999946219605826,0.18785518545195853,0.18785552221675964,2.23492068909105e-152,Informative,InfoT2T,p1,0.0010252286013600002
16,"(t000111, Node7*)",2.999996394214597,0.18785529642785964,0.18785552221675964,2.2349206890913045e-152,Informative,InfoT2T,p1,0.0015288756084000002
17,"(Node10*, Node9*)",2.999987749397774,0.18785490200784885,0.18785552221675964,2.2361287006769184e-152,Informative,InfoT2T,p1,0.0017427199327200002
18,"(Node11*, Node9*)",2.999983103779056,0.18785464043947536,0.18785552221675964,2.236369990308007e-152,Informative,InfoT2T,p1,0.0012253188260700001
19,"(Node13*, Node12*)",2.980259702961579,0.1877282670643082,0.18785552221675964,1.3080302733696257e-150,Informative,InfoT2T,p1,0.00127406828691
20,"(Node14*, Node12*)",2.9775205737237904,0.18733076048433905,0.18785552221675964,5.7577780189038036e-151,Informative,InfoT2T,p1,3.5982045000000005e-07
21,"(t001000, Node10*)",2.9999969095833667,0.18785532869948282,0.18785552221675964,2.2349206890915593e-152,Informative,InfoT2T,p1,0.0013230578871
22,"(t001001, Node10*)",2.9999969181897663,0.18785532923840273,0.18785552221675964,2.2349206890919417e-152,Informative,InfoT2T,p1,0.00132675108759
23,"(t001010, Node11*)",2.9999969106086257,0.18785532876368313,0.18785552221675964,2.2349206890928316e-152,Informative,InfoT2T,p1,0.00111673552698
24,"(t001011, Node11*)",2.9999981688469486,0.18785540755268873,0.18785552221675964,2.2349206890915593e-152,Informative,InfoT2T,p1,0.0018835963153200001
25,"(t001100, Node13*)",2.989224447459408,0.18759789539277752,0.18785552221675964,1.0370116780070628e-151,Informative,InfoT2T,p1,0.0007262623169100001
26,"(t001101, Node13*)",2.993681743193802,0.18760324114014668,0.18785552221675964,3.7887507537704567e-152,Informative,InfoT2T,p1,0.0020704418975700002
27,"(Node15*, Node14*)",2.9946917164555606,0.18757905380533355,0.18785552221675964,2.746156008769054e-152,Informative,InfoT2T,p1,0.00173748319929
28,"(Node16*, Node14*)",1.696225902449628,0.18785415768454952,0.18785552221675964,3.3672473969799095e-50,Informative,InfoT2T,p1,0.4340079060975
29,"(t001110, Node15*)",2.9999961005896947,0.18785527804865615,0.18785552221675964,2.234920747867068e-152,Informative,InfoT2T,p1,0.0011772552354300002
30,"(t001111, Node15*)",2.9999947533209803,0.18785519369049386,0.18785552221675964,2.2349207954955813e-152,Informative,InfoT2T,p1,0.00087503265009
31,"(Node17*, Node16*)",1.2659241524765736,0.14844897857792377,0.18785552221675964,5.345424510095668e-45,Informative,InfoT2T,p1,0.06939415171224
32,"(Node48*, Node16*)",1.8018777711672722,0.16301338514548397,0.18785552221675964,3.617485946937873e-74,Informative,InfoT2T,p1,0.3881246866497
33,"(Node18*, Node17*)",1.7102541212475997,0.16797993928743676,0.18785552221675964,2.99038257601997e-63,Informative,InfoT2T,p1,0.44424627858270005
34,"(Node33*, Node17*)",1.8799125838889914,0.15414400566796496,0.18785552221675964,8.19809628680133e-90,Informative,InfoT2T,p1,0.1753390593621
35,"(Node49*, Node48*)",2.9725973004796,0.18785546336969022,0.18785552221675964,1.1962881752814687e-149,Informative,InfoT2T,p1,0.0013237416660600001
36,"(t101011, Node48*)",2.9761601979386887,0.18747625090455236,0.18785552221675964,1.3379734956336568e-150,Informative,InfoT2T,p1,3.5135658e-07
