,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(Claviceps_purpurea_clp1, Node1*)",1.2349140747241947,0.10581454469899193,0.1393476802330441,1.9852051676258335e-82,Informative,InfoT2T,single_rate,0.1795745688
1,"(Claviceps_fusiformis_clf1, Node1*)",0.8926344567985738,0.11332206711711418,0.1393476802330441,1.0799119663879758e-38,Informative,InfoT2T,single_rate,0.5070289201
2,"(Node2*, Node1*)",1.1542542687226034,0.10525359806350838,0.1393476802330441,4.8888443760904547e-73,Informative,InfoT2T,single_rate,0.1285442079
3,"(Claviceps_paspali_cpas2, Node2*)",2.0392389064742504,0.1228099530062211,0.1393476802330441,1.5059342158397767e-164,Informative,InfoT2T,single_rate,2.4181e-06
4,"(Claviceps_sorghicola_cjap2, Node2*)",2.0558503479900905,0.12340888757392324,0.1393476802330441,1.3205827594204746e-165,Informative,InfoT2T,single_rate,0.0035284228
