,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.9999967106462324,0.18313853045173265,0.1831387312544245,3.3185523185224074e-160,Informative,InfoT2T,p1,0.00131424180109
1,"(t000001, Node1*)",2.999996313052983,0.18313850618015817,0.1831387312544245,3.31855231852203e-160,Informative,InfoT2T,p1,0.0011725717188099999
2,"(Node2*, Node1*)",2.9999961130948325,0.1831386057173425,0.1831387312544245,3.3200247038354635e-160,Informative,InfoT2T,p1,0.002101185794
3,"(Node3*, Node2*)",2.9999948013312574,0.18313852467681552,0.1831387312544245,3.3200120221770874e-160,Informative,InfoT2T,p1,0.0011367829023299998
4,"(Node4*, Node2*)",2.999991426987052,0.18313853649991788,0.1831387312544245,3.322883900270921e-160,Informative,InfoT2T,p1,0.0012049022653
5,"(t000010, Node3*)",2.9999967928726448,0.1831385354713462,0.1831387312544245,3.3185523185224074e-160,Informative,InfoT2T,p1,0.00064382056472
6,"(t000011, Node3*)",2.9999990228484834,0.1831386716029948,0.1831387312544245,3.3185523185224074e-160,Informative,InfoT2T,p1,0.00211206361719
7,"(Node5*, Node4*)",2.9999940746925877,0.18313844236099197,0.1831387312544245,3.319511809964045e-160,Informative,InfoT2T,p1,0.00137102559553
8,"(Node56*, Node4*)",2.9999896353852153,0.18313859656000703,0.1831387312544245,3.325119555586065e-160,Informative,InfoT2T,p1,0.00293765036528
9,"(Node6*, Node5*)",2.9999959582000018,0.18313858346985834,0.1831387312544245,3.319856121521078e-160,Informative,InfoT2T,p1,0.0006759405697400001
10,"(Node55*, Node5*)",2.999996648715331,0.1831386556611813,0.1831387312544245,3.320252005066418e-160,Informative,InfoT2T,p1,0.00132144181271
11,"(Node57*, Node56*)",2.9999843281685803,0.183137851039405,0.1831387312544245,3.319560136055873e-160,Informative,InfoT2T,p1,0.00166177240507
12,"(Node60*, Node56*)",2.9935588015049093,0.18313833314990657,0.1831387312544245,1.5755589519879437e-159,Informative,InfoT2T,p1,0.00104800775225
