,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.7609737849392673,0.1588063166015594,0.16207224369300136,3.651789547748626e-180,Informative,InfoT2T,p4,0.024973691412700002
1,"(t000001, Node1*)",2.766587370386237,0.15852165108101912,0.16207224369300136,1.574143466420733e-181,Informative,InfoT2T,p4,0.0222816259843
2,"(Node2*, Node1*)",2.673782328853015,0.15899573015716226,0.16207224369300136,1.029041695064045e-168,Informative,InfoT2T,p4,0.039927481820000006
3,"(Node3*, Node2*)",2.7339946849757157,0.1586100026230089,0.16207224369300136,3.8767443487643233e-177,Informative,InfoT2T,p4,0.0216015541299
4,"(Node4*, Node2*)",2.6637085843627504,0.15916631739926174,0.16207224369300136,4.14367546996981e-167,Informative,InfoT2T,p4,0.022895982559
5,"(t000010, Node3*)",2.8302271635746523,0.15892494125666223,0.16207224369300136,6.4608865912530774e-189,Informative,InfoT2T,p4,0.0122341079816
6,"(t000011, Node3*)",2.7794681215416843,0.16037662401759237,0.16207224369300136,4.829247017038256e-179,Informative,InfoT2T,p4,0.0401341860957
7,"(Node5*, Node4*)",2.673240096937723,0.15797944677815584,0.16207224369300136,8.579843917678004e-171,Informative,InfoT2T,p4,0.0260527173259
8,"(Node56*, Node4*)",2.5825158348582025,0.15898911791042328,0.16207224369300136,1.456780265940829e-157,Informative,InfoT2T,p4,0.055822279918400004
9,"(Node6*, Node5*)",2.7064831334107455,0.15871891572579266,0.16207224369300136,2.105025714434656e-173,Informative,InfoT2T,p4,0.0128444637722
10,"(Node55*, Node5*)",2.7053343631590105,0.1597322740870504,0.16207224369300136,4.265720661929117e-171,Informative,InfoT2T,p4,0.0251105086013
11,"(Node57*, Node56*)",2.677540744289474,0.1586761554351262,0.16207224369300136,7.442860025599228e-170,Informative,InfoT2T,p4,0.0315775918921
12,"(Node60*, Node56*)",2.684255998880433,0.1569221764420376,0.16207224369300136,1.7631070456480264e-174,Informative,InfoT2T,p4,0.0199146170675
13,"(t000100, Node6*)",2.8126024678439525,0.1595987737071706,0.16207224369300136,4.77207569294673e-185,Informative,InfoT2T,p4,0.0248981949065
14,"(Node7*, Node6*)",2.6885793403616614,0.1598090140589697,0.16207224369300136,7.476662378917203e-169,Informative,InfoT2T,p4,5.462101999999999e-06
15,"(t000110, Node55*)",2.7904134936033684,0.1583369658458875,0.16207224369300136,4.703780055178317e-185,Informative,InfoT2T,p4,0.017878472439400002
16,"(t000111, Node55*)",2.7561606536931587,0.15954686877290475,0.16207224369300136,6.650471035516673e-178,Informative,InfoT2T,p4,0.031978930843
17,"(Node58*, Node57*)",2.681843039493411,0.15894537217104068,0.16207224369300136,7.975948021200564e-170,Informative,InfoT2T,p4,0.0155269339952
18,"(Node59*, Node57*)",2.731253456638683,0.1593287898240809,0.16207224369300136,3.228641076926432e-175,Informative,InfoT2T,p4,0.0216997802858
19,"(Node61*, Node60*)",2.804871090129371,0.16007252822373166,0.16207224369300136,5.693917972332896e-183,Informative,InfoT2T,p4,0.027447635853
20,"(Node62*, Node60*)",2.751658864601907,0.15951307839935014,0.16207224369300136,2.0974373533434933e-177,Informative,InfoT2T,p4,0.017429993951699998
21,"(t000101, Node7*)",2.788948577794699,0.1598078502010291,0.16207224369300136,1.6147463394625102e-181,Informative,InfoT2T,p4,0.0274942695769
22,"(Node8*, Node7*)",2.2117787755110965e-05,0.16194821018677313,0.16207224369300136,0.4999103804306807,Saturated,SatuT2T,p4,8.097935705155
23,"(t001000, Node58*)",2.783030085178362,0.1590135927197605,0.16207224369300136,1.5174548657734417e-182,Informative,InfoT2T,p4,0.026760755723099997
24,"(t001001, Node58*)",2.760105609270099,0.15938590451594442,0.16207224369300136,9.209409270233211e-179,Informative,InfoT2T,p4,0.0344975474401
25,"(t001010, Node59*)",2.8127169775152843,0.15978382968823435,0.16207224369300136,1.2211257432943653e-184,Informative,InfoT2T,p4,0.024299709632700003
26,"(t001011, Node59*)",2.822419861371098,0.15922822854023772,0.16207224369300136,3.5000058814245833e-187,Informative,InfoT2T,p4,0.0153791461578
27,"(t001100, Node61*)",2.914808478809948,0.16159325504739327,0.16207224369300136,9.430430774568571e-194,Informative,InfoT2T,p4,0.0123601988404
28,"(t001101, Node61*)",2.9088600888083143,0.16003586284374052,0.16207224369300136,1.0649461333906441e-196,Informative,InfoT2T,p4,0.0023996830755
29,"(t001110, Node62*)",2.81328327485244,0.16005334566936788,0.16207224369300136,4.235835419140413e-184,Informative,InfoT2T,p4,0.032410930618900005
30,"(t001111, Node62*)",2.8267590917707404,0.1597786478768656,0.16207224369300136,1.7798556516359902e-186,Informative,InfoT2T,p4,0.0274041453777
31,"(Node9*, Node8*)",0.00013603628813195463,9.289784910537437e-05,0.16207224369300136,0.008005497239929299,Informative,SatuT2T,p4,5.766116600619
32,"(Node24*, Node8*)",7.996146126012673e-07,7.444870467283635e-05,0.16207224369300136,0.4929524476867135,Saturated,SatuT2T,p4,1.9310233057362
33,"(Node10*, Node9*)",2.81156179584077,0.16207093157625302,0.16207224369300136,2.1892478004821297e-179,Informative,InfoT2T,p4,0.0249623100177
34,"(t010110, Node9*)",2.7195465226630917,0.15493369352941333,0.16207224369300136,1.339022552747091e-183,Informative,InfoT2T,p4,6.0719318999999995e-06
