,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.93580055760727,0.21624967311433121,0.21786618515330197,9.342367536360632e-111,Informative,InfoT2T,p3,0.01023725192428
1,"(t000001, Node1*)",2.9344822176454524,0.21619734012233052,0.21786618515330197,1.0360783446997957e-110,Informative,InfoT2T,p3,0.00913371654652
2,"(Node2*, Node1*)",2.857948013459815,0.2170033979889694,0.21786618515330197,2.3007801394149358e-104,Informative,InfoT2T,p3,0.016367131448
3,"(Node3*, Node2*)",2.876819587957128,0.21618186784943302,0.21786618515330197,1.663164227523638e-106,Informative,InfoT2T,p3,0.00885494050236
4,"(Node4*, Node2*)",2.8353341467322255,0.2154810030382441,0.21786618515330197,3.5180780891016785e-104,Informative,InfoT2T,p3,0.009385554487600001
5,"(t000010, Node3*)",2.93716988861061,0.2158584414740519,0.21786618515330197,2.986831875123349e-111,Informative,InfoT2T,p3,0.00501502334624
6,"(t000011, Node3*)",2.9276662119113834,0.21666863956749133,0.21786618515330197,9.721602592155511e-110,Informative,InfoT2T,p3,0.01645186396548
7,"(Node5*, Node4*)",2.8917751689454887,0.2155807099615163,0.21786618515330197,3.514403012482962e-108,Informative,InfoT2T,p3,0.010679567796760001
8,"(Node56*, Node4*)",2.785881633847397,0.21652846373125015,0.21786618515330197,1.049814345950533e-99,Informative,InfoT2T,p3,0.022882750213760003
9,"(Node6*, Node5*)",2.928266054179588,0.2165203679241913,0.21786618515330197,6.257115094686534e-110,Informative,InfoT2T,p3,0.0052652212800800005
10,"(Node55*, Node5*)",2.930363957913399,0.21707078308398564,0.21786618515330197,1.5423025050058154e-109,Informative,InfoT2T,p3,0.01029333622532
11,"(Node57*, Node56*)",2.8552471460567777,0.21510513945775356,0.21786618515330197,5.596775812818627e-106,Informative,InfoT2T,p3,0.01294433241844
12,"(Node60*, Node56*)",2.817878856908612,0.21500294468792186,0.21786618515330197,2.2351228003991875e-103,Informative,InfoT2T,p3,0.008163428807
13,"(t000100, Node6*)",2.945351357766767,0.21746894798161362,0.21786618515330197,3.051335814646584e-110,Informative,InfoT2T,p3,0.0102063042866
14,"(Node7*, Node6*)",2.9160796794717982,0.21707375549673408,0.21786618515330197,1.715716077833741e-108,Informative,InfoT2T,p3,2.2390328e-06
15,"(t000110, Node55*)",2.939797205740981,0.21742318316731218,0.21786618515330197,7.015740410118089e-110,Informative,InfoT2T,p3,0.00732876943816
16,"(t000111, Node55*)",2.9626762306890426,0.21660620706904404,0.21786618515330197,2.179556093118315e-112,Informative,InfoT2T,p3,0.0131088498652
17,"(Node58*, Node57*)",2.9326520310416826,0.21695486652775958,0.21786618515330197,8.048629593251641e-110,Informative,InfoT2T,p3,0.00636482337728
18,"(Node59*, Node57*)",2.93531516339692,0.21666777779229018,0.21786618515330197,2.6578140192504442e-110,Informative,InfoT2T,p3,0.00889520551112
19,"(Node61*, Node60*)",2.9179229090814913,0.2156687677355575,0.21786618515330197,5.124769614747796e-110,Informative,InfoT2T,p3,0.0112513748292
20,"(Node62*, Node60*)",2.8294115062357728,0.2161397900859182,0.21786618515330197,3.88667561957904e-103,Informative,InfoT2T,p3,0.00714492848388
21,"(t000101, Node7*)",2.960249171830076,0.2170733506790651,0.21786618515330197,9.804572879559266e-112,Informative,InfoT2T,p3,0.01127049099316
22,"(Node8*, Node7*)",-0.02185047048405116,0.2178563614375933,0.21786618515330197,0.565518120377951,Saturated,SatuT2T,p3,3.3195175879420002
23,"(t001000, Node58*)",2.9528707399995717,0.2171108436260086,0.21786618515330197,3.7505881094311766e-111,Informative,InfoT2T,p3,0.01096980792684
24,"(t001001, Node58*)",2.952938657845344,0.21705376811795263,0.21786618515330197,3.2494673779085598e-111,Informative,InfoT2T,p3,0.014141284845640001
25,"(t001010, Node59*)",2.9392556788886504,0.21743519392043884,0.21786618515330197,7.899589983201453e-110,Informative,InfoT2T,p3,0.00996097233228
26,"(t001011, Node59*)",2.9540735759338084,0.2169865295272636,0.21786618515330197,2.2932906162311293e-111,Informative,InfoT2T,p3,0.00630424197192
27,"(t001100, Node61*)",2.9980622998610826,0.21773637332245638,0.21786618515330197,7.238639547440855e-114,Informative,InfoT2T,p3,0.00506671069456
28,"(t001101, Node61*)",2.992445354998634,0.21748061778184585,0.21786618515330197,1.0370171595139445e-113,Informative,InfoT2T,p3,0.0009836815782
29,"(t001110, Node62*)",2.887461452522241,0.21537426381069158,0.21786618515330197,4.561198038455163e-108,Informative,InfoT2T,p3,0.01328593584196
30,"(t001111, Node62*)",2.8588775265674875,0.2162568414233487,0.21786618515330197,3.878871510007999e-105,Informative,InfoT2T,p3,0.01123354715028
31,"(Node9*, Node8*)",-0.006179135185035002,0.009991945821262845,0.21786618515330197,0.8454700339958866,Saturated,SatuT2T,p3,2.3636549074716005
32,"(Node24*, Node8*)",-0.001707055644249027,0.009747341386457149,0.21786618515330197,0.613351067364233,Saturated,SatuT2T,p3,0.7915678834096801
33,"(Node10*, Node9*)",2.9398725306702054,0.21786546186081063,0.21786618515330197,1.8927808319992595e-109,Informative,InfoT2T,p3,0.010232586446280001
34,"(t010110, Node9*)",2.9000668967144034,0.21364521309911907,0.21786618515330197,9.966741902646586e-111,Informative,InfoT2T,p3,2.48901516e-06
35,"(Node25*, Node24*)",-0.0070706323073119965,0.00393649565652536,0.21786618515330197,0.9984338340188664,Saturated,SatuT2T,p3,1.502394276122
36,"(Node40*, Node24*)",-0.043638549840317425,0.02922620173108772,0.21786618515330197,0.9929749913352026,Saturated,SatuT2T,p3,3.343265014744
37,"(Node11*, Node10*)",2.891525589572483,0.21703188024759568,0.21786618515330197,9.456291184093585e-107,Informative,InfoT2T,p3,0.00559599425008
38,"(t010111, Node10*)",2.9376930094509976,0.21666359079702704,0.21786618515330197,1.758824933777632e-110,Informative,InfoT2T,p3,0.00707229408136
39,"(Node26*, Node25*)",2.890737202118877,0.21616911267741679,0.21786618515330197,1.5752223906425417e-107,Informative,InfoT2T,p3,0.009059510160520002
40,"(Node37*, Node25*)",2.85608427758555,0.21320634470294628,0.21786618515330197,6.764269009857774e-108,Informative,InfoT2T,p3,2.0949533200000003e-06
41,"(Node41*, Node40*)",2.9380285555046646,0.2134561504781933,0.21786618515330197,8.771096420579201e-114,Informative,InfoT2T,p3,2.59759536e-06
42,"(Node52*, Node40*)",2.9983203324870575,0.2177742251469834,0.21786618515330197,7.572592458949245e-114,Informative,InfoT2T,p3,0.015227190269520002
43,"(Node12*, Node11*)",2.8648790030558726,0.2167529865055326,0.21786618515330197,4.253401294147028e-105,Informative,InfoT2T,p3,0.00970944139056
44,"(Node23*, Node11*)",2.8821164982886693,0.21623747061469792,0.21786618515330197,7.770917542085808e-107,Informative,InfoT2T,p3,0.013163983717640002
45,"(Node27*, Node26*)",2.8819837740098917,0.21695762207150274,0.21786618515330197,3.9191725075439006e-106,Informative,InfoT2T,p3,0.01637112620776
46,"(Node34*, Node26*)",2.893957570257853,0.21660619744628498,0.21786618515330197,2.4436391145230145e-107,Informative,InfoT2T,p3,0.00967733149852
47,"(Node38*, Node37*)",2.879453121613473,0.21740397654309326,0.21786618515330197,1.5883285395380666e-105,Informative,InfoT2T,p3,0.010552862437840002
48,"(Node39*, Node37*)",2.931168787211165,0.21652828347248854,0.21786618515330197,3.896626777942903e-110,Informative,InfoT2T,p3,0.01632905113236
49,"(Node42*, Node41*)",2.9397417392151217,0.21782566825872032,0.21786618515330197,1.767960692441324e-109,Informative,InfoT2T,p3,0.02929487360516
50,"(Node49*, Node41*)",2.9603371253265833,0.21777792235858384,0.21786618515330197,4.922452380895735e-111,Informative,InfoT2T,p3,0.004720075198520001
