,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
0,"(t000000, Node1*)",2.919363985383182,0.21233520498726008,0.21353933356441893,1.548299303016767e-113,Informative,InfoT2T,p3,0.008341771248400002
1,"(t000001, Node1*)",2.918753339229196,0.21236174197027338,0.21353933356441893,1.8373670430215347e-113,Informative,InfoT2T,p3,0.009391928642399999
2,"(Node2*, Node1*)",2.914576977207166,0.21192257122694058,0.21353933356441893,1.324815759671728e-113,Informative,InfoT2T,p3,0.01254397851
3,"(Node3*, Node2*)",2.89098035631917,0.21316453989510806,0.21353933356441893,1.5507183817496043e-110,Informative,InfoT2T,p3,0.008052438428
4,"(Node4*, Node2*)",2.916793630419172,0.21232329473152545,0.21353933356441893,2.3618163843039455e-113,Informative,InfoT2T,p3,0.0049744172956
5,"(t000010, Node3*)",2.887343331263884,0.21196031396074014,0.21353933356441893,1.7064278199179845e-111,Informative,InfoT2T,p3,0.0105763350932
6,"(t000011, Node3*)",2.90006899306383,0.2115440685327446,0.21353933356441893,6.807957505484527e-113,Informative,InfoT2T,p3,0.011443125541600001
7,"(Node5*, Node4*)",2.904088517842069,0.2128803540194271,0.21353933356441893,8.213259180131173e-112,Informative,InfoT2T,p3,0.009849787682
8,"(Node8*, Node4*)",2.8894148345869595,0.2127869897742794,0.21353933356441893,8.387079206419806e-111,Informative,InfoT2T,p3,0.0148174465516
9,"(Node6*, Node5*)",2.9150454858316057,0.21167044930657752,0.21353933356441893,6.620341693652763e-114,Informative,InfoT2T,p3,0.0100346057088
10,"(Node7*, Node5*)",2.8757947278173464,0.21231166074349075,0.21353933356441893,2.900802852639853e-110,Informative,InfoT2T,p3,0.0187057841364
11,"(Node9*, Node8*)",2.8662511490518283,0.21228982563292587,0.21353933356441893,1.432568934591477e-109,Informative,InfoT2T,p3,0.009094954478399999
12,"(Node12*, Node8*)",2.9044299043500277,0.21158890252443763,0.21353933356441893,3.52428986503583e-113,Informative,InfoT2T,p3,0.0135071153084
13,"(t000100, Node6*)",2.968600103158493,0.21313572212155,0.21353933356441893,1.8520497780734278e-116,Informative,InfoT2T,p3,0.0094182034228
14,"(t000101, Node6*)",2.9769452633301507,0.21269752825963265,0.21353933356441893,1.4162015112098071e-117,Informative,InfoT2T,p3,0.0062158140996
