,edge,delta,c_s,c_sTwoSequence,p_value,result_test,result_test_tip2tip,category_rate,branch_length
73,"(Node39*, Node38*)",2.6564363440957113,0.16349989914083263,0.1658734494368793,1.2228275712170616e-157,Informative,InfoT2T,p4,0.0414030505524
74,"(Node40*, Node38*)",2.674853632687862,0.16180281451865083,0.1658734494368793,4.037531604487157e-163,Informative,InfoT2T,p4,0.01734032217
75,"(Node42*, Node41*)",2.6221232820866165,0.16164078285266256,0.1658734494368793,3.739115821308734e-157,Informative,InfoT2T,p4,0.0307104052092
76,"(Node45*, Node41*)",2.6171853584648606,0.16069817362188202,0.1658734494368793,2.1908833250419914e-158,Informative,InfoT2T,p4,0.0210201684892
77,"(Node54*, Node53*)",2.661761536915798,0.1628943331258854,0.1658734494368793,2.0073760494303695e-159,Informative,InfoT2T,p4,0.022486785577200002
78,"(Node55*, Node53*)",2.693179192324492,0.16182108879662085,0.1658734494368793,2.7066065007592686e-165,Informative,InfoT2T,p4,0.0134400257288
79,"(Node57*, Node56*)",2.7432818073445255,0.16368851911189852,0.1658734494368793,1.4087424568667076e-167,Informative,InfoT2T,p4,0.0191138729744
80,"(Node58*, Node56*)",2.747187890271461,0.1627576839978045,0.1658734494368793,5.987749568375027e-170,Informative,InfoT2T,p4,0.0135002278004
81,"(t101100, Node60*)",2.7943997706446386,0.16308761878093708,0.1658734494368793,4.659233162389027e-175,Informative,InfoT2T,p4,0.027257616455199998
82,"(t101101, Node60*)",2.8042487333266615,0.1624487311101328,0.1658734494368793,1.1971460946722837e-177,Informative,InfoT2T,p4,0.017155265846
83,"(t101110, Node61*)",2.7834462143113607,0.16211939683177304,0.1658734494368793,9.263592080655203e-176,Informative,InfoT2T,p4,0.019253340644399996
84,"(t101111, Node61*)",2.738868277830697,0.16373767755486163,0.1658734494368793,6.0108588616135775e-167,Informative,InfoT2T,p4,0.033297905441599995
85,"(Node24*, Node23*)",2.628106301907112,0.16207707228240903,0.1658734494368793,5.0307309796162634e-157,Informative,InfoT2T,p4,0.0330157460792
86,"(Node25*, Node23*)",2.6776615823688603,0.16152213296069504,0.1658734494368793,5.104558206332924e-164,Informative,InfoT2T,p4,0.027659014359999998
87,"(Node27*, Node26*)",2.772733276903682,0.16253750122335586,0.1658734494368793,1.5243539040728041e-173,Informative,InfoT2T,p4,0.022767147675199998
88,"(Node28*, Node26*)",2.7074279457758528,0.16296468176002682,0.1658734494368793,1.0156773753664292e-164,Informative,InfoT2T,p4,0.0186993671604
89,"(t011100, Node30*)",2.7572513889396144,0.16317884249935413,0.1658734494368793,2.6150658395962968e-170,Informative,InfoT2T,p4,0.0315994172888
90,"(t011101, Node30*)",2.77591988117108,0.16197724568256416,0.1658734494368793,3.984776770460207e-175,Informative,InfoT2T,p4,0.01843636407
91,"(t011110, Node31*)",2.792648788403544,0.162965208711143,0.1658734494368793,4.221425887110057e-175,Informative,InfoT2T,p4,0.0221612155312
92,"(t011111, Node31*)",2.7708314413099058,0.16327414469497015,0.1658734494368793,9.055879065793485e-172,Informative,InfoT2T,p4,0.027277160074799998
93,"(t110100, Node39*)",2.8274220908414565,0.16245631763298413,0.1658734494368793,1.5340785845588715e-180,Informative,InfoT2T,p4,0.0146641693864
